town,salesprice,lotarea,AC
DUBUQUE,3.00E+05,13200,Yes
DUBUQUE,446900,43560,Yes
ASBURY,347000,13050,Yes
unknown,46000,9384,unknown
DUBUQUE,257500,9350,Yes
DUBUQUE,329000,9684,Yes
DUBUQUE,311000,8800,Yes
DUBUQUE,210000,8588,Yes
DUBUQUE,166000,7210,Yes
DUBUQUE,141000,6848,Yes
DUBUQUE,105000,0,Yes
DUBUQUE,179000,0,Yes
DUBUQUE,1.00E+06,10200,unknown
DUBUQUE,132000,9648,Yes
DUBUQUE,145000,8040,Yes
DUBUQUE,188000,9000,Yes
DUBUQUE,109900,6250,Yes
DUBUQUE,190000,23750,unknown
DUBUQUE,190000,23550,No
DUBUQUE,190000,17708,No
DUBUQUE,60000,5700,No
DUBUQUE,10000,12651,Yes
DUBUQUE,83900,4000,unknown
DUBUQUE,83900,4000,Yes
DUBUQUE,22000,5750,No
DUBUQUE,16000,2875,Yes
DUBUQUE,14000,3000,No
DUBUQUE,69900,7400,No
DUBUQUE,30000,2500,No
DUBUQUE,260000,6650,Yes
DUBUQUE,55000,2918,No
DUBUQUE,109000,3600,Yes
DUBUQUE,95000,4374,No
DUBUQUE,1.00E+05,4250,unknown
DUBUQUE,1.00E+05,1870,No
DUBUQUE,79000,2380,No
DUBUQUE,1.00E+05,4500,No
DUBUQUE,130000,26132,unknown
DUBUQUE,130000,65280,Yes
DUBUQUE,130000,24138,unknown
DUBUQUE,149500,15370,Yes
DUBUQUE,151000,8700,Yes
DUBUQUE,155000,7280,Yes
DUBUQUE,117600,3784,Yes
DUBUQUE,105000,7800,No
DUBUQUE,113000,5412,Yes
DUBUQUE,140000,7625,No
DUBUQUE,165000,5500,Yes
DUBUQUE,117500,5000,Yes
DUBUQUE,110000,12540,Yes
DUBUQUE,225000,11550,Yes
DUBUQUE,150000,4440,Yes
DUBUQUE,112000,5661,Yes
DUBUQUE,160000,11000,Yes
DUBUQUE,166000,10950,Yes
DUBUQUE,250000,11815,Yes
DUBUQUE,170000,6390,Yes
DUBUQUE,175000,0,Yes
DUBUQUE,180000,9090,Yes
DUBUQUE,240000,7680,No
DUBUQUE,152000,22500,Yes
DUBUQUE,157500,6000,Yes
DUBUQUE,201000,9234,Yes
DUBUQUE,132000,4253,Yes
DUBUQUE,115000,5400,Yes
DUBUQUE,115000,5300,Yes
DUBUQUE,73000,6650,Yes
DUBUQUE,102500,8400,Yes
DUBUQUE,68000,6800,Yes
EPWORTH,170000,27764,No
FARLEY,259900,18109,Yes
PEOSTA,438144,25875,Yes
PEOSTA,320000,52708,Yes
PEOSTA,232500,61855,Yes
PEOSTA,245000,10328,Yes
unknown,700,17860,unknown
DUBUQUE,79000,30022,unknown
DUBUQUE,71000,25923,unknown
DUBUQUE,123000,58370,unknown
DUBUQUE,3.00E+05,8625,Yes
DUBUQUE,286900,9430,Yes
DUBUQUE,525000,57499,Yes
PEOSTA,450000,121968,Yes
DUBUQUE,58000,78408,unknown
DUBUQUE,385000,44431,Yes
CASCADE,85750,7200,No
CASCADE,105000,8160,Yes
CASCADE,90500,7200,Yes
CASCADE,178000,13520,Yes
CASCADE,241500,12000,Yes
SHERRILL,257500,675180,Yes
SHERRILL,120000,53579,Yes
DUBUQUE,325000,90169,Yes
NEW VIENNA,80000,6300,Yes
DYERSVILLE,160000,7360,Yes
DYERSVILLE,134000,16104,Yes
DUBUQUE,273000,40511,Yes
unknown,47500,43865,unknown
DUBUQUE,113500,1344,Yes
DUBUQUE,107900,3700,No
DUBUQUE,107900,3700,No
DUBUQUE,45000,8112,Yes
DUBUQUE,75000,7684,No
DUBUQUE,101000,3288,Yes
DUBUQUE,101000,3699,Yes
DUBUQUE,106750,4600,Yes
DUBUQUE,228000,34848,unknown
DUBUQUE,228000,13500,Yes
DUBUQUE,106000,8600,Yes
DUBUQUE,69200,7200,No
DUBUQUE,139000,10449,Yes
DUBUQUE,244000,13520,Yes
DUBUQUE,205000,0,Yes
DUBUQUE,182500,5239,Yes
DUBUQUE,343000,18984,Yes
DUBUQUE,270000,7700,Yes
unknown,7000,60984,unknown
unknown,30000,48787,unknown
ASBURY,54000,16099,unknown
ASBURY,271000,9660,Yes
DUBUQUE,245000,9350,Yes
DUBUQUE,276000,9288,Yes
DUBUQUE,160400,9350,Yes
DUBUQUE,170000,7700,Yes
DUBUQUE,133000,8192,Yes
DUBUQUE,152000,9100,Yes
DUBUQUE,191000,10000,Yes
DUBUQUE,157900,6825,Yes
DUBUQUE,110000,8128,Yes
DUBUQUE,1.00E+06,11016,unknown
DUBUQUE,1.00E+06,10530,unknown
DUBUQUE,1.00E+06,10200,unknown
DUBUQUE,625000,13252,unknown
DUBUQUE,625000,11337,unknown
DUBUQUE,210000,9200,Yes
DUBUQUE,62000,5000,No
DUBUQUE,26853,6864,No
DUBUQUE,64000,3375,Yes
DUBUQUE,46900,2500,No
DUBUQUE,15000,4550,No
DUBUQUE,4500,840,No
DUBUQUE,143000,4773,No
DUBUQUE,105000,5450,Yes
DUBUQUE,121000,4400,Yes
DUBUQUE,38964,1376,No
DUBUQUE,95000,7050,No
DUBUQUE,64000,5000,No
DUBUQUE,107000,5400,Yes
DUBUQUE,107000,5000,unknown
DUBUQUE,147000,7360,Yes
DUBUQUE,244000,5880,No
DUBUQUE,210000,8968,Yes
DUBUQUE,186000,14400,Yes
DUBUQUE,308000,10115,Yes
DUBUQUE,182000,11840,Yes
DUBUQUE,176150,9776,Yes
DUBUQUE,440000,9638,Yes
DUBUQUE,130000,5673,Yes
DUBUQUE,36000,9860,Yes
DUBUQUE,120000,6900,Yes
DUBUQUE,39051,6900,Yes
unknown,49500,59024,unknown
unknown,4500,2520,unknown
FARLEY,145000,9240,No
EPWORTH,80000,4800,Yes
FARLEY,183000,9760,Yes
PEOSTA,360000,20400,Yes
PEOSTA,210000,57935,Yes
PEOSTA,260500,8400,unknown
PEOSTA,310000,43560,Yes
DUBUQUE,47900,10608,Yes
DUBUQUE,279500,148975,Yes
DUBUQUE,575000,175982,Yes
DUBUQUE,405500,43996,Yes
BERNARD,139000,13504,Yes
unknown,13000,184259,unknown
unknown,25900,46609,unknown
DUBUQUE,189000,50094,Yes
DYERSVILLE,2.00E+05,151589,Yes
DYERSVILLE,50000,8625,No
DYERSVILLE,150500,8052,Yes
DYERSVILLE,75000,3894,Yes
DYERSVILLE,152000,11781,Yes
DYERSVILLE,165000,9200,Yes
DYERSVILLE,172000,6563,Yes
unknown,84000,44867,unknown
unknown,33000,44867,unknown
ASBURY,425000,53475,Yes
ASBURY,340000,23100,Yes
DUBUQUE,325000,217800,No
DUBUQUE,235000,27090,Yes
DUBUQUE,135000,4212,Yes
DUBUQUE,56000,228690,No
unknown,65000,71003,unknown
DUBUQUE,270000,117612,Yes
DUBUQUE,3.00E+05,49658,Yes
DUBUQUE,340000,21280,Yes
DUBUQUE,445000,25740,Yes
DUBUQUE,172500,9822,unknown
DUBUQUE,172500,125017,Yes
DUBUQUE,134500,2560,Yes
DUBUQUE,118500,1428,Yes
DUBUQUE,107000,1344,Yes
DUBUQUE,105000,5000,Yes
DUBUQUE,87000,3700,No
DUBUQUE,91000,5100,Yes
DUBUQUE,81500,5000,Yes
DUBUQUE,6000,2560,No
DUBUQUE,30500,2600,Yes
DUBUQUE,50000,4640,Yes
DUBUQUE,75000,6348,No
DUBUQUE,153000,13360,Yes
DUBUQUE,92500,5400,Yes
DUBUQUE,110500,8052,Yes
DUBUQUE,107161,9920,Yes
DUBUQUE,362000,23600,Yes
DUBUQUE,149000,20952,Yes
DUBUQUE,3020,13824,unknown
DUBUQUE,131500,15072,Yes
DUBUQUE,305000,14259,Yes
DUBUQUE,230000,10000,Yes
DUBUQUE,255000,13395,Yes
DUBUQUE,195900,9600,Yes
DUBUQUE,190000,19082,Yes
DUBUQUE,185000,9271,Yes
DUBUQUE,180000,18450,Yes
DUBUQUE,329900,0,Yes
DUBUQUE,189900,5249,Yes
DUBUQUE,140000,9380,Yes
DUBUQUE,130000,7810,Yes
unknown,70000,43560,unknown
unknown,70000,49223,unknown
ASBURY,240000,14220,Yes
ASBURY,248000,9880,Yes
DUBUQUE,248900,14400,Yes
DUBUQUE,267000,12000,Yes
DUBUQUE,184900,7350,Yes
ASBURY,410000,12451,Yes
ASBURY,49000,9356,Yes
ASBURY,255000,9275,Yes
ASBURY,44500,10824,unknown
DUBUQUE,132500,8165,Yes
DUBUQUE,208000,11250,Yes
DUBUQUE,259000,9996,Yes
DUBUQUE,288000,9356,Yes
DUBUQUE,141500,8400,Yes
DUBUQUE,150000,7920,Yes
DUBUQUE,167500,7700,Yes
DUBUQUE,179500,9920,Yes
DUBUQUE,206292,8116,Yes
DUBUQUE,207245,6583,Yes
DUBUQUE,155000,6771,Yes
DUBUQUE,135000,8800,Yes
DUBUQUE,170000,0,Yes
DUBUQUE,149500,8320,Yes
DUBUQUE,150000,0,Yes
DUBUQUE,417000,17152,unknown
DUBUQUE,135000,14552,Yes
DUBUQUE,140000,7380,Yes
DUBUQUE,153000,7100,Yes
DUBUQUE,218500,9450,Yes
DUBUQUE,159000,13068,Yes
DUBUQUE,97250,5000,Yes
DUBUQUE,5000,6900,No
DUBUQUE,5000,13682,No
DUBUQUE,148000,6650,Yes
DUBUQUE,68019,9504,Yes
DUBUQUE,32660,3840,No
DUBUQUE,1.00E+05,4995,Yes
DUBUQUE,58000,2905,No
DUBUQUE,124500,8520,No
DUBUQUE,285000,5900,Yes
DUBUQUE,285000,13050,unknown
DUBUQUE,55000,2900,No
DUBUQUE,60000,2600,No
DUBUQUE,60000,2500,No
DUBUQUE,30000,2500,No
DUBUQUE,49000,1690,Yes
DUBUQUE,49000,1575,unknown
DUBUQUE,112000,3956,Yes
